,bench_att,bench_neu,bench_def,bench_att_HV,bench_neu_HV,bench_def_HV,bt_att,bt_neu,bt_def,bt_att_hv,bt_neu_hv,bt_def_hv
2020-06-30,261.3349545083044,224.3159079878797,212.6435252892494,0.18895599219153153,0.16661419576174585,0.11306591619755735,354.302629956433,303.0602951984409,244.93766434574113,0.11929567244342862,0.026755417958229014,0.07154461658082589
2020-07-01,262.65814366579036,225.32750064573187,213.31927138566968,0.18498174470096254,0.1634256385831665,0.11167720855802823,356.0340866176574,303.25198101310764,245.69030814723956,0.11965429528189478,0.025209579949624084,0.07200871269107396
2020-07-02,264.44386617383935,226.70556321897405,214.27254847688673,0.18444258578145625,0.16277280635169097,0.11066374201145666,358.49374549464864,303.6511600898746,246.80330231628406,0.11955936715784274,0.021738871674825046,0.07107262490133333
2020-07-06,268.38975522871,229.67646396856205,216.1394183545112,0.17928952722910205,0.15820167966221715,0.10749419130228692,363.8062564470259,303.7290873046879,248.93692245407095,0.1259733956316172,0.021756388179252857,0.07448375137898086
2020-07-07,266.1005775120733,227.99329415769472,215.18692469701762,0.18080714005844362,0.15944026651866572,0.10806452231692612,360.6294144454924,304.1192640464787,247.81142306671134,0.13104719002777518,0.021770776912916852,0.07708346063852722
2020-07-08,267.64822266778924,229.15010787267582,215.89206521100994,0.18120233824703735,0.15976986536221802,0.10823557190116818,362.67244470023786,304.0585078853611,248.60066471519465,0.13157885980589593,0.02189805621335341,0.0773178452712905
2020-07-09,267.3003802868841,228.9598913672437,215.95919395570752,0.18106250490971848,0.15952916764306252,0.1076902683774325,362.0425028091398,304.82428608818094,248.61453522167199,0.1318604093127622,0.019309549076580952,0.076801601242411
2020-07-10,268.1416818217275,229.56118236379518,216.25372667417525,0.11379241843192874,0.09925888563515137,0.06458003486774049,363.17040870036755,304.494709121323,248.94823836917868,0.1138009881119046,0.01798376569603589,0.06446407872485396
2020-07-13,266.53460412321067,228.3480805218686,215.48299347276688,0.1150942016515117,0.10044460156550264,0.06547009546657563,361.14575321941055,304.4304400960926,248.1233189825057,0.11448883094228571,0.018029427513282195,0.06496180567500087
2020-07-14,268.6097969237325,229.9557538357724,216.61120420141222,0.11673246748471468,0.10206229584959907,0.06694346366728847,364.0038425424544,304.9628115201953,249.44019621314996,0.116194722050451,0.015792808096285683,0.06652825263280175
2020-07-15,269.93047863683677,230.95317612485778,217.2460574126244,0.11152579150994685,0.09781159000993611,0.06490249463574166,365.85613920154253,305.0238725517276,250.19582935352318,0.11101644314079216,0.013938798580347477,0.06450831494110032
2020-07-16,268.81840237512563,230.13376999597443,216.7777885127068,0.11337138176875816,0.09942068707870053,0.06590638812970397,364.3554278911559,305.19555774860413,249.65985288867944,0.11283245832056617,0.013080325550878513,0.06549523137564905
2020-07-17,269.65145599393816,230.78935096464053,217.26355128145224,0.11337736655847032,0.0994455373328576,0.06597559362065572,365.5146568727462,305.51934827384974,250.23115271873465,0.11284587729058457,0.013107612283502516,0.06557362998832104
2020-07-20,271.93642670755355,232.54110723447695,218.44628923864371,0.11416145904248864,0.10017518231019132,0.06656272611510054,368.4010848209349,305.9015228836062,251.50731776695244,0.11319591066595659,0.01323605680804617,0.0658883662383098
2020-07-21,271.9939828114506,232.60077237291233,218.52621894807822,0.11273266626445719,0.09898586757103293,0.06594013848279566,368.6070521938292,306.08131110858943,251.65105425491325,0.11166387455952914,0.01297627631237622,0.06520746249979668
2020-07-22,272.4879146916386,232.99606712369814,218.8357947504998,0.11265078470822322,0.09892690548137317,0.06592794617400019,369.25673563689867,306.34493127746606,251.99950493011463,0.11159134554605028,0.012676588245236889,0.0651979656112236
2020-07-23,269.6383102517124,230.88145158128634,217.5872184796334,0.10892083410919845,0.09542233188504233,0.0629115625865538,365.53652210044544,306.62420493755366,250.62049818267812,0.10734898831438158,0.011930116071717135,0.06186817719262145
2020-07-24,268.5410039366718,230.0454297181119,217.03605054655083,0.10995912344008629,0.09640106322694005,0.06375809154285424,364.0947350519149,306.49589949054746,250.00456096115104,0.10830906483437523,0.01248323493013501,0.06266509568007086
