,0,1,2
290,MA5,MA120_gra,MFI
291,MA5,MA120_gra,Momentum
292,MA5,MA120_gra,Sonar
293,MA5,MA120_gra,Sonar_sig5
294,MA5,MA120_gra,STDEV
295,MA5,MA120_gra,Sigma
296,MA5,MA120_gra,TRIX
297,MA5,MA120_gra,VR
298,MA5,MA120_gra,WILLR
299,MA5,MA120_gra,Psy
300,MA5,MA120_gra,Disparity20
301,MA5,MA120_gra,Disparity60
302,MA5,MA120_gra,ADX
303,MA5,MA120_gra,ADOSC
304,MA5,MA120_gra,Volume_OSC
305,MA5,MA120_gra,upperband
306,MA5,MA120_gra,middleband
307,MA5,MA120_gra,lowerband
308,MA5,V_MA5,V_MA20
309,MA5,V_MA5,V_MA60
310,MA5,V_MA5,V_MA120
311,MA5,V_MA5,EMA5
312,MA5,V_MA5,EMA20
313,MA5,V_MA5,EMA60
314,MA5,V_MA5,EMA120
315,MA5,V_MA5,MACD
316,MA5,V_MA5,MACD_sig9
317,MA5,V_MA5,MACD_OSC
318,MA5,V_MA5,Fast%K
319,MA5,V_MA5,Fast%D
320,MA5,V_MA5,Slow%K
321,MA5,V_MA5,Slow%D
322,MA5,V_MA5,RSI14
323,MA5,V_MA5,RSI signal
324,MA5,V_MA5,CCI
325,MA5,V_MA5,A_Ratio
326,MA5,V_MA5,B_Ratio
327,MA5,V_MA5,ATR
328,MA5,V_MA5,UpDI
329,MA5,V_MA5,DownDI
330,MA5,V_MA5,MFI
331,MA5,V_MA5,Momentum
332,MA5,V_MA5,Sonar
333,MA5,V_MA5,Sonar_sig5
334,MA5,V_MA5,STDEV
335,MA5,V_MA5,Sigma
336,MA5,V_MA5,TRIX
337,MA5,V_MA5,VR
338,MA5,V_MA5,WILLR
339,MA5,V_MA5,Psy
340,MA5,V_MA5,Disparity20
341,MA5,V_MA5,Disparity60
342,MA5,V_MA5,ADX
343,MA5,V_MA5,ADOSC
344,MA5,V_MA5,Volume_OSC
345,MA5,V_MA5,upperband
346,MA5,V_MA5,middleband
347,MA5,V_MA5,lowerband
348,MA5,V_MA20,V_MA60
349,MA5,V_MA20,V_MA120
350,MA5,V_MA20,EMA5
351,MA5,V_MA20,EMA20
352,MA5,V_MA20,EMA60
353,MA5,V_MA20,EMA120
354,MA5,V_MA20,MACD
355,MA5,V_MA20,MACD_sig9
356,MA5,V_MA20,MACD_OSC
357,MA5,V_MA20,Fast%K
358,MA5,V_MA20,Fast%D
359,MA5,V_MA20,Slow%K
360,MA5,V_MA20,Slow%D
361,MA5,V_MA20,RSI14
362,MA5,V_MA20,RSI signal
363,MA5,V_MA20,CCI
364,MA5,V_MA20,A_Ratio
365,MA5,V_MA20,B_Ratio
366,MA5,V_MA20,ATR
367,MA5,V_MA20,UpDI
368,MA5,V_MA20,DownDI
369,MA5,V_MA20,MFI
370,MA5,V_MA20,Momentum
371,MA5,V_MA20,Sonar
372,MA5,V_MA20,Sonar_sig5
373,MA5,V_MA20,STDEV
374,MA5,V_MA20,Sigma
375,MA5,V_MA20,TRIX
376,MA5,V_MA20,VR
377,MA5,V_MA20,WILLR
378,MA5,V_MA20,Psy
379,MA5,V_MA20,Disparity20
380,MA5,V_MA20,Disparity60
381,MA5,V_MA20,ADX
382,MA5,V_MA20,ADOSC
383,MA5,V_MA20,Volume_OSC
384,MA5,V_MA20,upperband
385,MA5,V_MA20,middleband
386,MA5,V_MA20,lowerband
387,MA5,V_MA60,V_MA120
388,MA5,V_MA60,EMA5
389,MA5,V_MA60,EMA20
390,MA5,V_MA60,EMA60
391,MA5,V_MA60,EMA120
392,MA5,V_MA60,MACD
393,MA5,V_MA60,MACD_sig9
394,MA5,V_MA60,MACD_OSC
395,MA5,V_MA60,Fast%K
396,MA5,V_MA60,Fast%D
397,MA5,V_MA60,Slow%K
398,MA5,V_MA60,Slow%D
399,MA5,V_MA60,RSI14
400,MA5,V_MA60,RSI signal
401,MA5,V_MA60,CCI
402,MA5,V_MA60,A_Ratio
403,MA5,V_MA60,B_Ratio
404,MA5,V_MA60,ATR
405,MA5,V_MA60,UpDI
406,MA5,V_MA60,DownDI
407,MA5,V_MA60,MFI
408,MA5,V_MA60,Momentum
409,MA5,V_MA60,Sonar
410,MA5,V_MA60,Sonar_sig5
411,MA5,V_MA60,STDEV
412,MA5,V_MA60,Sigma
413,MA5,V_MA60,TRIX
414,MA5,V_MA60,VR
415,MA5,V_MA60,WILLR
416,MA5,V_MA60,Psy
417,MA5,V_MA60,Disparity20
418,MA5,V_MA60,Disparity60
419,MA5,V_MA60,ADX
420,MA5,V_MA60,ADOSC
421,MA5,V_MA60,Volume_OSC
422,MA5,V_MA60,upperband
423,MA5,V_MA60,middleband
424,MA5,V_MA60,lowerband
425,MA5,V_MA120,EMA5
426,MA5,V_MA120,EMA20
427,MA5,V_MA120,EMA60
428,MA5,V_MA120,EMA120
429,MA5,V_MA120,MACD
430,MA5,V_MA120,MACD_sig9
431,MA5,V_MA120,MACD_OSC
432,MA5,V_MA120,Fast%K
433,MA5,V_MA120,Fast%D
434,MA5,V_MA120,Slow%K
435,MA5,V_MA120,Slow%D
436,MA5,V_MA120,RSI14
437,MA5,V_MA120,RSI signal
438,MA5,V_MA120,CCI
439,MA5,V_MA120,A_Ratio
440,MA5,V_MA120,B_Ratio
441,MA5,V_MA120,ATR
442,MA5,V_MA120,UpDI
443,MA5,V_MA120,DownDI
444,MA5,V_MA120,MFI
445,MA5,V_MA120,Momentum
446,MA5,V_MA120,Sonar
447,MA5,V_MA120,Sonar_sig5
448,MA5,V_MA120,STDEV
449,MA5,V_MA120,Sigma
450,MA5,V_MA120,TRIX
451,MA5,V_MA120,VR
452,MA5,V_MA120,WILLR
453,MA5,V_MA120,Psy
454,MA5,V_MA120,Disparity20
455,MA5,V_MA120,Disparity60
456,MA5,V_MA120,ADX
457,MA5,V_MA120,ADOSC
458,MA5,V_MA120,Volume_OSC
459,MA5,V_MA120,upperband
460,MA5,V_MA120,middleband
461,MA5,V_MA120,lowerband
462,MA5,EMA5,EMA20
463,MA5,EMA5,EMA60
464,MA5,EMA5,EMA120
465,MA5,EMA5,MACD
466,MA5,EMA5,MACD_sig9
467,MA5,EMA5,MACD_OSC
468,MA5,EMA5,Fast%K
469,MA5,EMA5,Fast%D
470,MA5,EMA5,Slow%K
471,MA5,EMA5,Slow%D
472,MA5,EMA5,RSI14
473,MA5,EMA5,RSI signal
474,MA5,EMA5,CCI
475,MA5,EMA5,A_Ratio
476,MA5,EMA5,B_Ratio
477,MA5,EMA5,ATR
478,MA5,EMA5,UpDI
479,MA5,EMA5,DownDI
480,MA5,EMA5,MFI
481,MA5,EMA5,Momentum
482,MA5,EMA5,Sonar
483,MA5,EMA5,Sonar_sig5
484,MA5,EMA5,STDEV
485,MA5,EMA5,Sigma
486,MA5,EMA5,TRIX
487,MA5,EMA5,VR
488,MA5,EMA5,WILLR
489,MA5,EMA5,Psy
490,MA5,EMA5,Disparity20
491,MA5,EMA5,Disparity60
492,MA5,EMA5,ADX
493,MA5,EMA5,ADOSC
494,MA5,EMA5,Volume_OSC
495,MA5,EMA5,upperband
