,0,1
463,V_MA60,WILLR
464,V_MA60,Psy
465,V_MA60,Disparity20
466,V_MA60,Disparity60
467,V_MA60,ADX
468,V_MA60,ADOSC
469,V_MA60,Volume_OSC
470,V_MA60,upperband
471,V_MA60,middleband
472,V_MA60,lowerband
473,V_MA120,EMA5
474,V_MA120,EMA20
475,V_MA120,EMA60
476,V_MA120,EMA120
477,V_MA120,MACD
478,V_MA120,MACD_sig9
479,V_MA120,MACD_OSC
480,V_MA120,Fast%K
481,V_MA120,Fast%D
482,V_MA120,Slow%K
483,V_MA120,Slow%D
484,V_MA120,RSI14
485,V_MA120,RSI signal
486,V_MA120,CCI
487,V_MA120,A_Ratio
488,V_MA120,B_Ratio
489,V_MA120,ATR
490,V_MA120,UpDI
491,V_MA120,DownDI
492,V_MA120,MFI
493,V_MA120,Momentum
494,V_MA120,Sonar
495,V_MA120,Sonar_sig5
496,V_MA120,STDEV
497,V_MA120,Sigma
498,V_MA120,TRIX
499,V_MA120,VR
500,V_MA120,WILLR
501,V_MA120,Psy
502,V_MA120,Disparity20
503,V_MA120,Disparity60
504,V_MA120,ADX
505,V_MA120,ADOSC
506,V_MA120,Volume_OSC
507,V_MA120,upperband
508,V_MA120,middleband
509,V_MA120,lowerband
510,EMA5,EMA20
511,EMA5,EMA60
512,EMA5,EMA120
513,EMA5,MACD
514,EMA5,MACD_sig9
515,EMA5,MACD_OSC
516,EMA5,Fast%K
517,EMA5,Fast%D
518,EMA5,Slow%K
519,EMA5,Slow%D
520,EMA5,RSI14
521,EMA5,RSI signal
522,EMA5,CCI
523,EMA5,A_Ratio
524,EMA5,B_Ratio
525,EMA5,ATR
526,EMA5,UpDI
527,EMA5,DownDI
528,EMA5,MFI
529,EMA5,Momentum
530,EMA5,Sonar
531,EMA5,Sonar_sig5
532,EMA5,STDEV
533,EMA5,Sigma
534,EMA5,TRIX
535,EMA5,VR
536,EMA5,WILLR
537,EMA5,Psy
538,EMA5,Disparity20
539,EMA5,Disparity60
540,EMA5,ADX
541,EMA5,ADOSC
542,EMA5,Volume_OSC
543,EMA5,upperband
544,EMA5,middleband
545,EMA5,lowerband
546,EMA20,EMA60
547,EMA20,EMA120
548,EMA20,MACD
549,EMA20,MACD_sig9
550,EMA20,MACD_OSC
551,EMA20,Fast%K
552,EMA20,Fast%D
553,EMA20,Slow%K
554,EMA20,Slow%D
555,EMA20,RSI14
556,EMA20,RSI signal
557,EMA20,CCI
558,EMA20,A_Ratio
559,EMA20,B_Ratio
560,EMA20,ATR
561,EMA20,UpDI
562,EMA20,DownDI
563,EMA20,MFI
564,EMA20,Momentum
565,EMA20,Sonar
566,EMA20,Sonar_sig5
567,EMA20,STDEV
568,EMA20,Sigma
569,EMA20,TRIX
570,EMA20,VR
571,EMA20,WILLR
572,EMA20,Psy
573,EMA20,Disparity20
574,EMA20,Disparity60
575,EMA20,ADX
576,EMA20,ADOSC
577,EMA20,Volume_OSC
578,EMA20,upperband
579,EMA20,middleband
580,EMA20,lowerband
581,EMA60,EMA120
582,EMA60,MACD
583,EMA60,MACD_sig9
584,EMA60,MACD_OSC
585,EMA60,Fast%K
586,EMA60,Fast%D
587,EMA60,Slow%K
588,EMA60,Slow%D
589,EMA60,RSI14
590,EMA60,RSI signal
591,EMA60,CCI
592,EMA60,A_Ratio
593,EMA60,B_Ratio
594,EMA60,ATR
595,EMA60,UpDI
596,EMA60,DownDI
597,EMA60,MFI
598,EMA60,Momentum
599,EMA60,Sonar
600,EMA60,Sonar_sig5
601,EMA60,STDEV
602,EMA60,Sigma
603,EMA60,TRIX
604,EMA60,VR
605,EMA60,WILLR
606,EMA60,Psy
607,EMA60,Disparity20
608,EMA60,Disparity60
609,EMA60,ADX
610,EMA60,ADOSC
611,EMA60,Volume_OSC
612,EMA60,upperband
613,EMA60,middleband
614,EMA60,lowerband
615,EMA120,MACD
616,EMA120,MACD_sig9
617,EMA120,MACD_OSC
618,EMA120,Fast%K
619,EMA120,Fast%D
620,EMA120,Slow%K
621,EMA120,Slow%D
622,EMA120,RSI14
623,EMA120,RSI signal
624,EMA120,CCI
625,EMA120,A_Ratio
626,EMA120,B_Ratio
627,EMA120,ATR
628,EMA120,UpDI
629,EMA120,DownDI
630,EMA120,MFI
631,EMA120,Momentum
632,EMA120,Sonar
633,EMA120,Sonar_sig5
634,EMA120,STDEV
635,EMA120,Sigma
636,EMA120,TRIX
637,EMA120,VR
638,EMA120,WILLR
639,EMA120,Psy
640,EMA120,Disparity20
641,EMA120,Disparity60
642,EMA120,ADX
643,EMA120,ADOSC
644,EMA120,Volume_OSC
645,EMA120,upperband
646,EMA120,middleband
647,EMA120,lowerband
648,MACD,MACD_sig9
649,MACD,MACD_OSC
650,MACD,Fast%K
651,MACD,Fast%D
652,MACD,Slow%K
653,MACD,Slow%D
654,MACD,RSI14
655,MACD,RSI signal
656,MACD,CCI
657,MACD,A_Ratio
658,MACD,B_Ratio
659,MACD,ATR
660,MACD,UpDI
661,MACD,DownDI
662,MACD,MFI
663,MACD,Momentum
664,MACD,Sonar
665,MACD,Sonar_sig5
666,MACD,STDEV
667,MACD,Sigma
668,MACD,TRIX
669,MACD,VR
670,MACD,WILLR
671,MACD,Psy
672,MACD,Disparity20
673,MACD,Disparity60
674,MACD,ADX
675,MACD,ADOSC
676,MACD,Volume_OSC
677,MACD,upperband
678,MACD,middleband
679,MACD,lowerband
680,MACD_sig9,MACD_OSC
681,MACD_sig9,Fast%K
682,MACD_sig9,Fast%D
683,MACD_sig9,Slow%K
684,MACD_sig9,Slow%D
685,MACD_sig9,RSI14
686,MACD_sig9,RSI signal
687,MACD_sig9,CCI
688,MACD_sig9,A_Ratio
689,MACD_sig9,B_Ratio
690,MACD_sig9,ATR
691,MACD_sig9,UpDI
692,MACD_sig9,DownDI
693,MACD_sig9,MFI
694,MACD_sig9,Momentum
695,MACD_sig9,Sonar
696,MACD_sig9,Sonar_sig5
697,MACD_sig9,STDEV
698,MACD_sig9,Sigma
699,MACD_sig9,TRIX
700,MACD_sig9,VR
701,MACD_sig9,WILLR
702,MACD_sig9,Psy
703,MACD_sig9,Disparity20
704,MACD_sig9,Disparity60
705,MACD_sig9,ADX
706,MACD_sig9,ADOSC
707,MACD_sig9,Volume_OSC
708,MACD_sig9,upperband
709,MACD_sig9,middleband
710,MACD_sig9,lowerband
711,MACD_OSC,Fast%K
712,MACD_OSC,Fast%D
713,MACD_OSC,Slow%K
714,MACD_OSC,Slow%D
715,MACD_OSC,RSI14
716,MACD_OSC,RSI signal
717,MACD_OSC,CCI
718,MACD_OSC,A_Ratio
719,MACD_OSC,B_Ratio
720,MACD_OSC,ATR
721,MACD_OSC,UpDI
722,MACD_OSC,DownDI
723,MACD_OSC,MFI
724,MACD_OSC,Momentum
725,MACD_OSC,Sonar
726,MACD_OSC,Sonar_sig5
727,MACD_OSC,STDEV
728,MACD_OSC,Sigma
729,MACD_OSC,TRIX
730,MACD_OSC,VR
731,MACD_OSC,WILLR
732,MACD_OSC,Psy
733,MACD_OSC,Disparity20
734,MACD_OSC,Disparity60
735,MACD_OSC,ADX
736,MACD_OSC,ADOSC
737,MACD_OSC,Volume_OSC
738,MACD_OSC,upperband
739,MACD_OSC,middleband
740,MACD_OSC,lowerband
741,Fast%K,Fast%D
742,Fast%K,Slow%K
743,Fast%K,Slow%D
744,Fast%K,RSI14
745,Fast%K,RSI signal
746,Fast%K,CCI
747,Fast%K,A_Ratio
748,Fast%K,B_Ratio
749,Fast%K,ATR
750,Fast%K,UpDI
751,Fast%K,DownDI
752,Fast%K,MFI
753,Fast%K,Momentum
754,Fast%K,Sonar
755,Fast%K,Sonar_sig5
756,Fast%K,STDEV
757,Fast%K,Sigma
758,Fast%K,TRIX
759,Fast%K,VR
760,Fast%K,WILLR
761,Fast%K,Psy
762,Fast%K,Disparity20
763,Fast%K,Disparity60
764,Fast%K,ADX
765,Fast%K,ADOSC
766,Fast%K,Volume_OSC
767,Fast%K,upperband
768,Fast%K,middleband
769,Fast%K,lowerband
770,Fast%D,Slow%K
771,Fast%D,Slow%D
772,Fast%D,RSI14
773,Fast%D,RSI signal
774,Fast%D,CCI
775,Fast%D,A_Ratio
776,Fast%D,B_Ratio
777,Fast%D,ATR
778,Fast%D,UpDI
779,Fast%D,DownDI
780,Fast%D,MFI
781,Fast%D,Momentum
782,Fast%D,Sonar
783,Fast%D,Sonar_sig5
784,Fast%D,STDEV
785,Fast%D,Sigma
786,Fast%D,TRIX
787,Fast%D,VR
