class,return,rb_count,resid_diff,out_multiple,rebalance_weight
neu,236.8916088851916,88,15,0.2,0.3
deff,209.15972966232292,60,15,0.2,0.3
att,347.0795080661776,71,15,0.2,0.4
neu,225.63045507373826,88,15,0.2,0.4
deff,200.17964517870058,60,15,0.2,0.4
att,344.0641333555223,71,15,0.2,0.5
neu,216.24707314252794,88,15,0.2,0.5
deff,192.30369799318336,60,15,0.2,0.5
att,340.1333897514373,71,15,0.2,0.6
neu,208.53491090650635,88,15,0.2,0.6
deff,185.17856178932198,60,15,0.2,0.6
att,335.49254133844425,71,15,0.2,0.7
neu,202.33699400625116,88,15,0.2,0.7
deff,178.6328234783172,60,15,0.2,0.7
att,330.2775122883806,71,15,0.2,0.8
neu,197.4973240311624,88,15,0.2,0.8
deff,172.53843480682326,60,15,0.2,0.8
att,324.55388198547433,71,15,0.2,0.9
neu,193.90536086568824,88,15,0.2,0.9
deff,166.90540069103238,60,15,0.2,0.9
att,339.9094433216124,65,15,0.3,0.1
neu,270.29191857528866,85,15,0.3,0.1
deff,229.12972878198784,62,15,0.3,0.1
att,337.5151980774879,65,15,0.3,0.2
neu,257.7252195508001,85,15,0.3,0.2
deff,214.637063352872,62,15,0.3,0.2
att,332.0315632173556,65,15,0.3,0.3
neu,246.49092428998918,85,15,0.3,0.3
deff,203.9845632461545,62,15,0.3,0.3
att,324.8914298099506,65,15,0.3,0.4
neu,235.8538578156469,85,15,0.3,0.4
deff,195.92684921474358,62,15,0.3,0.4
att,317.1900514152539,65,15,0.3,0.5
neu,225.63510377740874,85,15,0.3,0.5
deff,189.65284081001312,62,15,0.3,0.5
att,309.62789572801535,65,15,0.3,0.6
neu,215.89564349384366,85,15,0.3,0.6
deff,184.6333753798477,62,15,0.3,0.6
att,302.6767925757424,65,15,0.3,0.7
neu,206.77544898433626,85,15,0.3,0.7
deff,180.49829244985636,62,15,0.3,0.7
att,296.5674995700861,65,15,0.3,0.8
neu,198.43745263757685,85,15,0.3,0.8
deff,176.96533186693182,62,15,0.3,0.8
att,291.34016731271856,65,15,0.3,0.9
neu,191.02247181920978,85,15,0.3,0.9
deff,173.8650354161263,62,15,0.3,0.9
att,354.13916641359475,51,15,0.4,0.1
neu,255.11249317655322,87,15,0.4,0.1
deff,230.18076930417843,85,15,0.4,0.1
att,364.04011653604533,51,15,0.4,0.2
neu,231.81780346822677,87,15,0.4,0.2
deff,216.61713733720728,85,15,0.4,0.2
att,369.86097894086686,51,15,0.4,0.3
neu,213.96126984901474,87,15,0.4,0.3
deff,205.86069241371234,85,15,0.4,0.3
att,372.9507408555032,51,15,0.4,0.4
neu,200.0201641941067,87,15,0.4,0.4
deff,196.750034946823,85,15,0.4,0.4
att,374.28621075553866,51,15,0.4,0.5
neu,188.98213393478377,87,15,0.4,0.5
deff,188.90959413890863,85,15,0.4,0.5
att,374.5194053654689,51,15,0.4,0.6
neu,180.21429259262163,87,15,0.4,0.6
deff,182.18275309810653,85,15,0.4,0.6
att,373.9941533058155,51,15,0.4,0.7
neu,173.2429836718564,87,15,0.4,0.7
deff,176.50880204448703,85,15,0.4,0.7
att,372.84171372394616,51,15,0.4,0.8
neu,167.681221783639,87,15,0.4,0.8
deff,171.82800223283635,85,15,0.4,0.8
att,371.00489667368066,51,15,0.4,0.9
neu,163.29162274341576,87,15,0.4,0.9
deff,168.07255662498568,85,15,0.4,0.9
att,348.2130446442625,43,15,0.5,0.1
neu,266.8709652102472,71,15,0.5,0.1
deff,229.60668134241266,78,15,0.5,0.1
att,350.8572302743927,43,15,0.5,0.2
neu,253.06428854637255,71,15,0.5,0.2
deff,213.15525195531967,78,15,0.5,0.2
att,349.1352990764622,43,15,0.5,0.3
neu,242.32249266490894,71,15,0.5,0.3
deff,199.92537074308436,78,15,0.5,0.3
att,345.05179021539806,43,15,0.5,0.4
neu,233.22897118940503,71,15,0.5,0.4
deff,189.0829024713511,78,15,0.5,0.4
att,340.07465628251947,43,15,0.5,0.5
neu,225.06035967035257,71,15,0.5,0.5
deff,180.11124159869993,78,15,0.5,0.5
att,335.1917952235248,43,15,0.5,0.6
neu,217.52690317411484,71,15,0.5,0.6
deff,172.61690367631977,78,15,0.5,0.6
att,330.97548128156717,43,15,0.5,0.7
neu,210.43924577522375,71,15,0.5,0.7
deff,166.38688835611416,78,15,0.5,0.7
att,327.7951653693211,43,15,0.5,0.8
neu,203.7026414252291,71,15,0.5,0.8
deff,161.20315805425705,78,15,0.5,0.8
att,325.7729455443403,43,15,0.5,0.9
neu,197.21372178773973,71,15,0.5,0.9
deff,156.95419227371252,78,15,0.5,0.9
att,354.218428276445,35,15,0.6,0.1
