class,return,rb_count,resid_diff,out_multiple,rebalance_weight
att,357.8103279747019,25,10,0.9,0.3
neu,275.53448279619175,49,10,0.9,0.3
deff,231.21847176494546,66,10,0.9,0.3
att,360.7601016507141,25,10,0.9,0.4
neu,275.1447053030006,49,10,0.9,0.4
deff,225.51401705312674,66,10,0.9,0.4
att,362.8233428735745,25,10,0.9,0.5
neu,274.9041075443261,49,10,0.9,0.5
deff,220.4479177105901,66,10,0.9,0.5
att,364.26119203700824,25,10,0.9,0.6
neu,274.5959629982951,49,10,0.9,0.6
deff,215.9178659795763,66,10,0.9,0.6
att,365.3840212322237,25,10,0.9,0.7
neu,274.15675190124335,49,10,0.9,0.7
deff,211.7965405412679,66,10,0.9,0.7
att,366.35909003410364,25,10,0.9,0.8
neu,273.68684354095444,49,10,0.9,0.8
deff,208.11359294261825,66,10,0.9,0.8
att,367.4813724340447,25,10,0.9,0.9
neu,273.3651660923965,49,10,0.9,0.9
deff,204.8759887335788,66,10,0.9,0.9
att,345.73163780489006,71,15,0.2,0.1
neu,265.8791890936856,88,15,0.2,0.1
deff,233.0826976092351,60,15,0.2,0.1
att,348.8335213343613,71,15,0.2,0.2
neu,250.2669784480095,88,15,0.2,0.2
deff,219.8542930417063,60,15,0.2,0.2
att,348.8760834274297,71,15,0.2,0.3
neu,236.89156490221066,88,15,0.2,0.3
deff,209.15962875843033,60,15,0.2,0.3
att,347.0811995524414,71,15,0.2,0.4
neu,225.63041149349152,88,15,0.2,0.4
deff,200.1795328331002,60,15,0.2,0.4
att,344.0645657514583,71,15,0.2,0.5
neu,216.24705177030606,88,15,0.2,0.5
deff,192.30356434850705,60,15,0.2,0.5
att,340.1340999644299,71,15,0.2,0.6
neu,208.53457697782366,88,15,0.2,0.6
deff,185.17839284172123,60,15,0.2,0.6
att,335.4936241541836,71,15,0.2,0.7
neu,202.33698165187965,88,15,0.2,0.7
deff,178.63265676088346,60,15,0.2,0.7
att,330.27774596586346,71,15,0.2,0.8
neu,197.4972502509111,88,15,0.2,0.8
deff,172.53792306442355,60,15,0.2,0.8
att,324.55481895322924,71,15,0.2,0.9
neu,193.90530127534927,88,15,0.2,0.9
deff,166.9048535503392,60,15,0.2,0.9
att,339.90991721182064,65,15,0.3,0.1
neu,270.2918702740674,85,15,0.3,0.1
deff,229.1297017943389,62,15,0.3,0.1
att,337.51547904596146,65,15,0.3,0.2
neu,257.72487526769504,85,15,0.3,0.2
deff,214.63714670972905,62,15,0.3,0.2
att,332.03201193132355,65,15,0.3,0.3
neu,246.49068391361314,85,15,0.3,0.3
deff,203.9845208190919,62,15,0.3,0.3
att,324.8918472145084,65,15,0.3,0.4
neu,235.8537791593547,85,15,0.3,0.4
deff,195.92652835874583,62,15,0.3,0.4
att,317.1903708129885,65,15,0.3,0.5
neu,225.6350279278749,85,15,0.3,0.5
