,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,^FCHI,^GDAXI,^GSPC,^HSI,^IXIC,^KS11,^N225,^FCHI,^GDAXI,^GSPC,^HSI,^IXIC,^KS11,^N225,^FCHI,^GDAXI,^GSPC,^HSI,^IXIC,^KS11,^N225,^FCHI,^GDAXI,^GSPC,^HSI,^IXIC,^KS11,^N225,^FCHI,^GDAXI,^GSPC,^HSI,^IXIC,^KS11,^N225,^FCHI,^GDAXI,^GSPC,^HSI,^IXIC,^KS11,^N225
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-11-06,3387.25,4813.56982421875,904.8800048828125,13790.0400390625,1608.699951171875,1092.219970703125,8899.1396484375,3387.25,4813.56982421875,904.8800048828125,13790.0400390625,1608.699951171875,1092.219970703125,8899.1396484375,3574.949951171875,5101.97998046875,952.4000244140625,14081.759765625,1676.9200439453125,1140.8499755859375,9380.2998046875,3377.679931640625,4781.509765625,899.72998046875,13674.0703125,1603.8699951171875,1081.7900390625,8806.7099609375,3504.3798828125,5101.97998046875,952.4000244140625,14081.759765625,1659.5699462890625,1133.780029296875,9373.650390625,219323700.0,201230400.0,6102230000.0,2739083600.0,2367880000.0,657600.0,176000000.0
2008-11-07,3469.1201171875,4938.4599609375,930.989990234375,14243.4296875,1647.4000244140625,1134.489990234375,8583.0,3469.1201171875,4938.4599609375,930.989990234375,14243.4296875,1647.4000244140625,1134.489990234375,8583.0,3509.919921875,5018.41015625,931.4600219726562,14254.2197265625,1654.25,1134.5,8868.099609375,3351.219970703125,4751.240234375,906.9000244140625,13273.08984375,1615.510009765625,1038.719970703125,8266.08984375,3393.389892578125,4827.56005859375,907.4400024414062,13273.08984375,1629.68994140625,1054.3499755859375,8774.490234375,159761600.0,145958500.0,4931640000.0,2750325200.0,1886230000.0,846300.0,206300000.0
2008-11-10,3505.75,5025.52978515625,919.2100219726562,14744.6298828125,1616.739990234375,1152.4599609375,9081.4296875,3505.75,5025.52978515625,919.2100219726562,14744.6298828125,1616.739990234375,1152.4599609375,9081.4296875,3612.280029296875,5135.14990234375,951.9500122070312,15147.9599609375,1680.6700439453125,1165.5699462890625,9106.2900390625,3489.719970703125,4998.0400390625,907.469970703125,14453.6201171875,1603.3299560546875,1124.1300048828125,8711.990234375,3558.64990234375,5024.43017578125,936.75,15033.1796875,1680.6700439453125,1152.260009765625,8711.990234375,129569200.0,121306700.0,4572000000.0,2801049800.0,1674900000.0,717500.0,155400000.0
2008-11-11,3336.409912109375,4761.580078125,898.9500122070312,14040.900390625,1580.9000244140625,1128.72998046875,8809.2998046875,3336.409912109375,4761.580078125,898.9500122070312,14040.900390625,1580.9000244140625,1128.72998046875,8809.2998046875,3460.1298828125,4984.31982421875,917.1500244140625,14853.830078125,1612.4200439453125,1160.300048828125,9056.3095703125,3328.31005859375,4742.47998046875,884.9000244140625,13926.7099609375,1563.949951171875,1114.5,8704.5595703125,3453.64990234375,4984.31982421875,917.1500244140625,14322.9501953125,1598.5899658203125,1133.3399658203125,8965.2900390625,139342500.0,159103900.0,4998340000.0,2453779200.0,1909080000.0,600700.0,153800000.0
2008-11-12,3233.9599609375,4620.7998046875,852.2999877929688,13939.08984375,1499.2099609375,1123.8599853515625,8695.509765625,3233.9599609375,4620.7998046875,852.2999877929688,13939.08984375,1499.2099609375,1123.8599853515625,8695.509765625,3410.090087890625,4875.66015625,893.3900146484375,14256.0595703125,1562.780029296875,1143.1800537109375,8782.48046875,3207.89990234375,4555.43994140625,850.47998046875,13626.3095703125,1499.2099609375,1096.6300048828125,8574.2001953125,3407.360107421875,4801.89990234375,893.3900146484375,14155.259765625,1555.1700439453125,1103.8800048828125,8694.91015625,169349700.0,167327000.0,5764180000.0,2071500000.0,2120870000.0,605700.0,153700000.0
2008-11-13,3269.4599609375,4649.52001953125,911.2899780273438,13221.349609375,1596.699951171875,1088.43994140625,8238.6396484375,3269.4599609375,4649.52001953125,911.2899780273438,13221.349609375,1596.699951171875,1088.43994140625,8238.6396484375,3293.97998046875,4713.77978515625,913.010009765625,13373.1103515625,1596.699951171875,1088.4599609375,8564.4697265625,3183.64990234375,4524.89013671875,818.6900024414062,12943.1103515625,1428.5400390625,1040.3399658203125,8148.2998046875,3196.030029296875,4599.64013671875,853.1300048828125,13068.9296875,1503.06005859375,1074.75,8564.4697265625,161551800.0,142433600.0,7849120000.0,2813729600.0,3009550000.0,566800.0,166600000.0
2008-11-14,3291.469970703125,4710.240234375,873.2899780273438,13542.66015625,1516.8499755859375,1088.260009765625,8462.3896484375,3291.469970703125,4710.240234375,873.2899780273438,13542.66015625,1516.8499755859375,1088.260009765625,8462.3896484375,3378.929931640625,4874.16015625,916.8800048828125,13749.5302734375,1587.760009765625,1129.4000244140625,8689.849609375,3269.56005859375,4695.7900390625,869.8800048828125,13493.8603515625,1513.0899658203125,1078.43994140625,8378.1298828125,3370.860107421875,4723.2900390625,904.3599853515625,13749.5302734375,1560.5899658203125,1126.93994140625,8378.1298828125,166657000.0,139067100.0,5881030000.0,2182739200.0,2243750000.0,440500.0,155600000.0
2008-11-17,3182.030029296875,4557.27001953125,850.75,13529.5302734375,1482.050048828125,1078.3199462890625,8522.580078125,3182.030029296875,4557.27001953125,850.75,13529.5302734375,1482.050048828125,1078.3199462890625,8522.580078125,3309.6201171875,4733.7900390625,882.2899780273438,13738.1201171875,1526.9599609375,1104.6600341796875,8767.98046875,3166.7900390625,4512.2099609375,848.97998046875,13277.6396484375,1481.699951171875,1050.4000244140625,8218.8203125,3283.570068359375,4700.5,873.22998046875,13584.349609375,1494.739990234375,1074.3299560546875,8366.8798828125,151743400.0,137085700.0,4927490000.0,1604626600.0,1831540000.0,413400.0,146000000.0
2008-11-18,3217.39990234375,4579.47021484375,859.1199951171875,12915.8896484375,1483.27001953125,1036.1600341796875,8328.41015625,3217.39990234375,4579.47021484375,859.1199951171875,12915.8896484375,1483.27001953125,1036.1600341796875,8328.41015625,3227.75,4607.5400390625,865.9000244140625,13363.5703125,1498.4200439453125,1075.6800537109375,8440.41015625,3103.5400390625,4445.8798828125,826.8400268554688,12676.2802734375,1429.9200439453125,1036.0999755859375,8302.240234375,3194.159912109375,4556.47998046875,852.3400268554688,13298.8798828125,1488.9300537109375,1053.2900390625,8415.599609375,176681000.0,145021700.0,6679470000.0,2489004400.0,2349230000.0,377400.0,144200000.0
2008-11-19,3087.889892578125,4354.08984375,806.5800170898438,12815.7998046875,1386.4200439453125,1016.8200073242188,8273.2197265625,3087.889892578125,4354.08984375,806.5800170898438,12815.7998046875,1386.4200439453125,1016.8200073242188,8273.2197265625,3215.510009765625,4586.68994140625,864.5700073242188,13179.330078125,1493.050048828125,1038.739990234375,8370.08984375,3085.139892578125,4337.919921875,806.1799926757812,12738.5302734375,1386.4200439453125,994.5700073242188,8115.7099609375,3215.510009765625,4586.330078125,859.030029296875,12827.3701171875,1479.1300048828125,1038.739990234375,8309.349609375,182591400.0,185904400.0,6548600000.0,2060798200.0,2372880000.0,404600.0,143900000.0
